company,role,location,term,duration,field,link,date_posted,deadline,salary,notes
Canadian Space Agency,"Intern - Engineer, Project Management","Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/239604-stagiaire-ingenieur-e-gestion-de-projets/1085872-formulaire/en,2026-05-21,,,Apply via co-op office
D2L,"Revenue Enablement Manager, North America Education Sales Organization",Canada,Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7951298&gh_jid=7951298,2026-05-21,,,
D2L,Senior GTM Strategy Manager (Product & Customer Marketing) - 18 Month Contract,"Remote - Canada; Kitchener, Ontario; Toronto",Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7951222&gh_jid=7951222,2026-05-21,,,
Canadian Space Agency,Internship - Instructional Designer,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/239962-stage-concepteur-pedagogique/1087565-formulaire/en,2026-06-01,,,Apply via co-op office
Canadian Space Agency,Internship - Financial analyst,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/239971-stage-analyste-financier/1087625-formulaire/en,2026-06-01,,,Apply via co-op office
Canadian Space Agency,Excel VBA Intern,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/239977-stagiaire-en-developpement-vba-excel/1087667-formulaire/en,2026-06-01,,,Apply via co-op office
Canadian Space Agency,Data Mining Intern,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/239979-stagiaire-pour-l-analyse-de-donnees/1087674-formulaire/en,2026-06-01,,,Apply via co-op office
Canadian Space Agency,IT support intern,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/240444-stagiaire-support-ti/1090183-formulaire/en,2026-06-01,,,Apply via co-op office
Canadian Space Agency,Internship - Quantum technologies for space,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/240183-stage-technologies-quantiques-pour-l-espace/1088729-formulaire/en,2026-06-01,,,Apply via co-op office
Canadian Space Agency,"Intern, IT Digital Solutions","Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/240284-stagiaire-solutions-numeriques-ti/1089230-formulaire/en,2026-06-01,,,Apply via co-op office
Canadian Space Agency,Internship - Advancing AI-Driven Earth Observation in Digital Earth Canada (DEC),"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/240315-stage-extension-des-capacites-d-observation-de-la-terre-intelligente-pour-digital-earth-canada-dec/1089423-formulaire/en,2026-06-01,,,Apply via co-op office
D2L,Marketing & BD Operations Manager,Canada,Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7967768&gh_jid=7967768,2026-05-29,,,
Hootsuite,Customer Success Manager | Responsable du Succès Client,"Vancouver, British Columbia",Summer,4,Software,https://careers.hootsuite.com/job/?gh_jid=7852401,2026-05-27,,,
Hootsuite,Enablement Strategy & Operations Manager,"New York, New York",Summer,4,Software,https://careers.hootsuite.com/job/?gh_jid=7960594,2026-05-27,,,
Canadian Space Agency,Hybrid project management Intern,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/240687-stagiaire-en-gestion-de-projet-hybride/1091441-formulaire/en,2026-06-08,,,Apply via co-op office
Canadian Space Agency,Space astronomy intern,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/240577-stagiaire-en-astronomie-spatiale/1090760-formulaire/en,2026-06-08,,,Apply via co-op office
Canadian Space Agency,Data Science Intern,"Longueuil, QC",Fall,4,AI / Data,https://asc-csa.hiringplatform.ca/240679-stagiaire-en-science-des-donnees/1091375-formulaire/en,2026-06-08,,,Apply via co-op office
Canadian Space Agency,Internship - Space Food and Nutrition,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/240686-stage-alimentation-spatiale-et-nutrition/1091423-formulaire/en,2026-06-08,,,Apply via co-op office
Canadian Space Agency,Robotics Intern,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/240815-stagiaire-en-robotique/1092155-formulaire/en,2026-06-08,,,Apply via co-op office
D2L,Performance Marketing Specialist,Canada,Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7997890&gh_jid=7997890,2026-06-10,,,
D2L,Community Specialist,"Kitchener, Ontario or Remote",Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7997856&gh_jid=7997856,2026-06-19,,,
D2L,"Customer Success Specialist, Higher Education","Kitchener, Canada - Remote",Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7997768&gh_jid=7997768,2026-06-19,,,
D2L,Deal Desk Operations Manager,Ontario,Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=8001507&gh_jid=8001507,2026-06-22,,,
D2L,Office Support Coordinator,HQ,Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7989300&gh_jid=7989300,2026-06-19,,,
Hootsuite,AR Credit & Collections Specialist,"Mexico City, Mexico",Summer,4,AI / Data,https://careers.hootsuite.com/job/?gh_jid=8016347,2026-06-22,,,
Hootsuite,Procurement Manager (14 Months Contract),"Vancouver, Toronto",Summer,4,Software,https://careers.hootsuite.com/job/?gh_jid=8009059,2026-06-17,,,
D2L,Dream Job Not Listed? Click Here!,Multiple,Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=73320&gh_jid=73320,2026-06-19,,,
D2L,Paid Media Specialist,Canada,Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7476991&gh_jid=7476991,2026-06-22,,,
D2L,Product Manager (H5P Group),"Oslo, Tromso",Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7766852&gh_jid=7766852,2026-06-19,,,
